Age,Prescription,Astigmatic,TearRate,Label
young,myope,no,reduced,no lenses
young,myope,no,normal,soft
young,myope,yes,reduced,no lenses
young,myope,yes,normal,hard
young,hypermetrope,no,reduced,no lenses
young,hypermetrope,no,normal,soft
young,hypermetrope,yes,reduced,no lenses
young,hypermetrope,yes,normal,hard
pre-presbyopic,myope,no,reduced,no lenses
pre-presbyopic,myope,no,normal,soft
pre-presbyopic,myope,yes,reduced,no lenses
pre-presbyopic,myope,yes,normal,hard
pre-presbyopic,hypermetrope,no,reduced,no lenses
pre-presbyopic,hypermetrope,no,normal,soft
pre-presbyopic,hypermetrope,yes,reduced,no lenses
pre-presbyopic,hypermetrope,yes,normal,no lenses
presbyopic,myope,no,reduced,no lenses
presbyopic,myope,no,normal,no lenses
presbyopic,myope,yes,reduced,no lenses
presbyopic,myope,yes,normal,hard
presbyopic,hypermetrope,no,reduced,no lenses
presbyopic,hypermetrope,no,normal,soft
presbyopic,hypermetrope,yes,reduced,no lenses
presbyopic,hypermetrope,yes,normal,no lenses
