iter	TotalF1	MultiClass
0	0.6910224224	1.321926331	1	0.6958795122	1.270973892	2	0.7194077789	1.218914403	3	0.7251073307	1.179485634	4	0.7304561645	1.138775245
5	0.7481943701	1.099572413
6	0.7564433813	1.064133583
7	0.7566316161	1.033986028	8	0.7555459783	1.006480419	9	0.7568690022	0.979721908110	0.7548368318	0.9605378133
11	0.7534328255	0.9372225607
12	0.7549798132	0.917860471
13	0.7512949619	0.8987045458
14	0.7575847014	0.8792693527
15	0.7576923423	0.8628990563
16	0.7609793489	0.8465249139
17	0.7584622614	0.8333372026
18	0.7604556143	0.819045973
19	0.7588386524	0.8055639087
20	0.7615498479	0.7910759302
21	0.76257722	0.7804630954
22	0.7672135976	0.7670116564
23	0.7659009203	0.7588360103
24	0.7638825278	0.747252312
25	0.7671119465	0.7376388154
26	0.7691059507	0.728211981
27	0.770286289	0.7193250067
28	28	0.7702197321	0.7135614129	29	0.7721977225	0.7045590730	30	0.7739866527	0.6961764794
31	0.7750929222	0.6885224852
32	0.7748713242	0.6825958246
33	0.7758259645	0.6765701072
34	0.7743388849	0.6708301789
35	0.7739231167	0.6658497129
36	0.7764222669	0.6588539254
37	0.7758755975	0.654611992
38	0.7764196928	0.6498862133
39	0.7764677474	0.6448570277
40	0.7749485119	0.6404934639
41	0.7779734557	0.6355151078
42	0.7798123189	0.6311164772
43	0.7823233804	0.6271011427
44	0.7818742247	0.6225751109
45	0.7832275293	0.6198343416
46	0.7840608464	0.6157089127
47	0.7846166377	0.6124919362
48	0.7851736351	0.609092804
49	0.7853408775	0.6066259918
50	0.7860024833	0.6042580577
51	0.7874001503	0.6017360437
52	0.7878016461	0.5992710655
53	0.7882197965	0.596986524
54	0.788748171	0.595023953
55	0.7885772415	0.5925638046
56	0.7896060915	0.5906348397
57	0.7900650985	0.5871645682
58	0.7913529802	0.5831630487
59	0.7914661823	0.5806661426
60	0.792584768	0.5779989085
61	0.7920563416	0.5763798687
62	0.7926428408	0.5738199808
63	0.7937787657	0.5702741199
64	0.7948379804	0.5674926171
65	0.7971366283	0.565151505
66	0.7976433003	0.562984676
67	0.798095806	0.5614319502
68	0.798389139	0.5598062542
69	0.7982362135	0.5580427365
70	0.7996541242	0.5557608888
71	0.8003126067	0.5536086678
72	0.8007985235	0.5523728141
73	0.8017917815	0.5508415505
74	0.8027649438	0.5490975078
75	0.8042843855	0.5475296393
76	0.8035425604	0.5463271579
77	0.8039174832	0.5446627531
78	0.8048889587	0.5432311304
79	0.8053927363	0.5411424478
80	0.8064424833	0.5395697633
81	0.8068355107	0.537698972
82	0.8068575636	0.5361878652
83	0.8074531137	0.5349133168
84	0.8075632108	0.5338262172
85	0.808325472	0.5313363025
86	0.8085037617	0.5297412147
87	0.810173162	0.5284644744
88	0.8104227321	0.5268568264
89	0.810986377	0.5259818524
90	0.8110970285	0.5239665385
91	0.8119455414	0.5232085366
92	0.8126178074	0.5221296715
93	0.8130706486	0.5208846456
94	0.8137016644	0.5190249343
95	0.8140572916	0.5181270908
96	0.8144085986	0.5167218842
97	0.8149283456	0.5158126053
98	0.8153401024	0.514332911
99	0.8157789186	0.5127061393
100	0.8155271357	0.5115364675
101	0.8160769352	0.5106260978
102	0.8166273971	0.5092835108
103	0.8170619829	0.5087622373
104	0.8174180833	0.5078394717
105	0.8173737103	0.507020105
106	0.8169699731	0.5063350044
107	0.8174335453	0.5055672169
108	0.8184403937	0.504565044
109	0.8176781181	0.5034526254
