iter	Passed	Remaining
0	37	18838
1	70	17498
2	106	17581
3	141	17603
4	176	17494
5	212	17519
6	258	18180
7	297	18306
8	338	18466
9	373	18287
10	415	18459
11	462	18799
12	501	18770
13	538	18695
14	570	18443
15	603	18260
16	630	17922
17	660	17685
18	692	17520
19	728	17486
20	757	17287
21	786	17095
22	816	16932
23	850	16875
24	881	16745
25	909	16575
26	938	16445
27	968	16323
28	1001	16271
29	1038	16274
30	1069	16177
31	1100	16087
32	1129	15981
33	1166	15992
34	1204	16001
35	1234	15908
36	1267	15856
37	1305	15874
38	1338	15826
39	1376	15828
40	1426	15973
41	1461	15937
42	1511	16061
43	1568	16253
44	1643	16621
45	1709	16873
46	1742	16793
47	1783	16790
48	1817	16730
49	1844	16600
50	1883	16578
51	1920	16548
52	1949	16442
53	1983	16381
54	2021	16359
55	2053	16279
56	2084	16197
57	2118	16147
58	2146	16046
59	2179	15984
60	2219	15971
61	2255	15934
62	2286	15863
63	2328	15861
64	2360	15796
65	2399	15781
66	2443	15792
67	2480	15756
68	2519	15737
69	2557	15710
70	2605	15743
71	2643	15716
72	2675	15651
73	2719	15654
74	2754	15610
75	2790	15570
76	2829	15542
77	2872	15540
78	2908	15497
79	2945	15464
80	2979	15414
81	3012	15354
82	3043	15289
83	3071	15211
84	3098	15129
85	3126	15052
86	3153	14969
87	3184	14908
88	3210	14828
89	3234	14735
90	3262	14665
91	3289	14588
92	3318	14521
93	3343	14442
94	3373	14383
95	3407	14340
96	3444	14311
97	3480	14277
98	3514	14234
99	3556	14225
100	3591	14189
101	3627	14155
102	3663	14118
103	3700	14089
104	3730	14035
105	3772	14020
106	3804	13972
107	3833	13913
108	3861	13852
109	3892	13799
110	3926	13760
111	3960	13721
112	3992	13673
113	4022	13619
114	4050	13558
115	4075	13491
116	4107	13447
117	4137	13392
118	4165	13337
119	4197	13290
120	4232	13256
121	4257	13190
122	4287	13142
123	4321	13102
124	4354	13064
125	4378	12996
126	4404	12935
127	4433	12884
128	4461	12830
129	4497	12801
130	4552	12823
131	4589	12796
132	4625	12764
133	4654	12714
134	4698	12704
135	4734	12672
136	4765	12626
137	4792	12572
138	4827	12536
139	4853	12480
140	4898	12472
141	4932	12435
142	4962	12388
143	4996	12351
144	5048	12360
145	5096	12358
146	5138	12338
147	5168	12291
148	5199	12248
149	5224	12190
150	5252	12140
151	5284	12097
152	5317	12060
153	5356	12033
154	5387	11992
155	5427	11969
156	5462	11934
157	5504	11914
158	5575	11958
159	5629	11962
160	5664	11927
161	5713	11920
162	5754	11896
163	5793	11868
164	5831	11839
165	5881	11833
166	5919	11803
167	5959	11776
168	6026	11803
169	6068	11779
170	6109	11753
171	6155	11739
172	6191	11703
173	6230	11672
174	6267	11640
175	6314	11624
176	6357	11600
177	6397	11573
178	6441	11552
179	6486	11531
180	6528	11505
181	6566	11473
182	6615	11460
183	6658	11435
184	6700	11408
185	6738	11375
186	6775	11340
187	6820	11319
188	6858	11285
189	6892	11245
190	6927	11206
191	6961	11167
192	7012	11154
193	7055	11128
194	7090	11090
195	7127	11055
196	7160	11013
197	7191	10968
198	7222	10925
199	7255	10883
200	7278	10827
201	7309	10782
202	7342	10742
203	7374	10699
204	7417	10674
205	7459	10646
206	7500	10616
207	7539	10584
208	7588	10566
209	7624	10529
210	7660	10491
211	7695	10453
212	7729	10414
213	7764	10377
214	7802	10342
215	7843	10312
216	7887	10285
217	7928	10255
218	7964	10219
219	7995	10175
220	8033	10141
221	8064	10099
222	8093	10053
223	8124	10010
224	8156	9969
225	8194	9934
226	8225	9892
227	8253	9846
228	8283	9802
229	8311	9757
230	8337	9709
231	8365	9663
232	8394	9619
233	8424	9576
234	8454	9533
235	8485	9492
236	8517	9451
237	8552	9415
238	8583	9374
239	8668	9391
240	8717	9369
241	8970	9563
242	9028	9549
243	9158	9608
244	9223	9599
245	9312	9614
246	9365	9592
247	9400	9552
248	9451	9526
249	9485	9485
250	9523	9447
251	9566	9414
252	9599	9372
253	9632	9328
254	9673	9294
255	9711	9256
256	9748	9217
257	9790	9183
258	9832	9148
259	9883	9122
260	9919	9083
261	9968	9055
262	9995	9007
263	10025	8961
264	10065	8926
265	10105	8890
266	10154	8861
267	10196	8826
268	10228	8783
269	10267	8746
270	10303	8706
271	10340	8668
272	10380	8631
273	10449	8619
274	10481	8576
275	10514	8533
276	10557	8499
277	10607	8470
278	10648	8435
279	10682	8393
280	10726	8359
281	10755	8314
282	10789	8273
283	10828	8235
284	10856	8190
285	10890	8148
286	10924	8107
287	10956	8065
