ID_Cliente,Data_Solicitude,Idade,Lonxitude_Nome,Num_Fillos,Profesion,Anos_Emprego,Ingresos_Anuais,Tipo_Dispositivo,Tempo_Web_Minutos,Subscricion_Email,Dia_Solicitude,Distancia_Oficina_Km,Codigo_Postal,Patrimonio_Total,Debeda_Total,Historial_Impagos,Numero_Tarxetas,Utilizacion_Credito,Consultas_Risco_6M,Limite_Credito_Total,Cota_Mensual_Prestamos,Ratio_Cota_Ingresos,Prestamos_Activos,Antiguedade_Cliente_Anos,Saldo_Medio_3M,Variacion_Saldo_6M,Fondo_Emerxencia_Meses,Indice_Estres_Financeiro,Target_Risco
122279,2021-01-01,27,17,2,Autónomo,2.1,7660.67,Android,45.0,0,Venres,17.3,27004,38804.64,2409.78,0,3,0.5510184023258352,2,5660.66,60.3,0.09444416165144151,1,2.3,489.85,-0.091,8.11,0.234,0
121221,2021-01-01,44,19,1,Funcionario,17.4,126784.59,Windows,37.5,1,Venres,19.4,15001,412721.61,42722.65,0,7,0.0,1,54104.76,754.26,0.07138918547446914,1,17.2,2820.78,-0.131,3.74,0.256,1
111934,2021-01-01,30,12,1,Asalariado,2.2,9629.39,Windows,30.5,0,Domingo,0.5,27001,75432.93,184.08,0,2,0.0,0,4330.94,3.09,0.0038503113581069928,0,0.0,231.86,-0.183,24.0,0.128,0
101906,2021-01-01,42,29,1,Desempregado,0.0,3332.75,Windows,,0,Mércores,24.2,15008,43339.04,84.89,1,3,0.7949648370937459,1,5664.84,1.86,0.006695163104611924,0,7.1,221.12,-0.047,24.0,0.163,1
117317,2021-01-01,33,16,0,Desempregado,0.0,6993.01,Android,21.5,1,Sábado,40.1,27002,45252.56,380.62,0,3,0.36798969298111006,2,6614.56,6.69,0.011478393653998206,0,0.0,392.57,0.192,24.0,0.0,0
116267,2021-01-01,56,18,2,Autónomo,13.7,26668.1,iOS,26.9,0,Venres,20.9,15007,90084.0,3455.41,0,0,0.0,2,8411.95,62.0,0.027897454357289898,1,14.6,3160.21,-0.094,24.0,0.027,0
110665,2021-01-01,42,30,0,Asalariado,14.5,62168.62,iOS,40.2,0,Mércores,7.9,15003,,26901.28,0,1,0.8865495940897378,0,29012.88,736.95,0.14224632545606683,3,14.8,7063.41,0.109,9.58,0.239,0
122246,2021-01-01,36,25,2,Asalariado,6.0,79370.09,iOS,3.0,0,Venres,17.4,27002,,31317.92,0,2,0.5996790215463101,2,24780.54,725.19,0.10964042449209153,1,11.8,9345.42,-0.076,12.89,0.322,1
122603,2021-01-01,31,25,3,Asalariado,5.3,26019.77,Windows,10.6,1,Xoves,0.6,27004,154790.96,14695.68,0,3,0.3065385992494081,3,16334.45,427.72,0.19725165704166325,1,13.8,2333.17,-0.132,5.45,0.263,1
109267,2021-01-01,41,30,0,Funcionario,3.5,20904.47,Windows,23.2,0,Mércores,6.7,15007,53233.8,692.18,0,3,0.4661568472140986,0,10125.9,17.42,0.009999296834751863,0,5.7,1110.32,0.034,24.0,0.037,0
118121,2021-01-01,44,10,2,Asalariado,2.4,23896.31,Windows,32.8,0,Mércores,16.4,15004,93153.14,3805.53,0,7,0.5823340469648426,0,20373.71,66.43,0.03335772938460438,0,4.3,1258.18,0.104,18.92,0.127,0
100814,2021-01-01,34,30,2,Autónomo,7.4,29132.81,Windows,21.7,0,Venres,4.7,15001,67811.92,7156.04,0,2,0.4327317731891183,1,15618.96,204.19,0.08410434474584683,0,7.7,3148.54,0.209,15.41,0.101,0
110140,2021-01-01,53,23,1,Asalariado,20.1,21258.7,Windows,26.5,0,Sábado,36.7,27002,94118.05,2623.2,0,2,0.10393651861628167,1,6070.84,43.79,0.02471718791892642,0,24.7,1777.89,-0.109,24.0,0.055,0
101603,2021-01-01,24,33,2,Asalariado,0.2,80410.03,Android,18.5,0,Domingo,11.8,15004,,40179.57,0,0,0.0,1,29389.16,1051.17,0.15686952399440726,2,0.0,6043.91,0.27,5.75,0.148,0
